10,46
7,123
2,263
6,33
4,31
15,136
8,182
3,163
5,273
14,152
13,262
11,208
1,115
9,191
12,154
10,126
7,112
2,148
6,206
4,189
15,195
8,247
3,229
5,45
14,78
13,153
11,167
1,38
9,308
12,87
15,136
12,280
9,259
14,318
6,193
11,15
7,313
5,283
1,230
2,150
1,226
2,187
6,150
15,104
7,46
3,134
8,133
4,167
10,195
13,10
9,32
11,33
5,258
12,124
14,111
1,307
2,163
6,202
15,271
7,291
8,18
7,93
1,307
15,188
5,205
10,10
11,257
14,179
6,174
2,132
13,298
4,168
9,66
3,99
12,25
8,204
7,111
1,210
15,310
5,16
14,309
10,267
15,52
2,318
13,229
11,61
8,120
6,66
9,12
5,265
3,30
12,33
4,168
1,218
7,69
14,182
10,295
15,271
2,138
13,18
3,187
7,61
10,262
14,156
8,190
15,111
5,98
4,192
9,144
12,182
10,12
12,318
5,70
9,189
3,187
2,205
6,35
8,186
15,140
11,291
15,221
14,188
5,234
7,313
9,197
12,253
13,129
11,211
6,63
8,258
